timestamp_utc,tren,linea,retraso_min,origen,destino,latitud,longitud,accesible,mat
2026-03-25T00:00:32Z,18036,,89,17000,03100,37.97794,-3.8019261,False,449047
2026-03-25T00:15:18Z,18036,,89,17000,03100,37.97794,-3.8019261,False,449047
2026-03-25T04:15:16Z,12512,,1,08223,31412,42.270096,-8.605658,False,599027
2026-03-25T04:30:24Z,18047,,0,60400,18000,39.50387,-3.26637,False,449003
2026-03-25T04:30:24Z,04154,,-1,31412,17000,43.1144,-8.470818,False,106053
2026-03-25T04:30:24Z,04056,,15,11511,17000,43.21554,-2.0203009,False,121017
2026-03-25T04:30:24Z,14541,,-1,61307,61200,37.747013,-0.9672061,False,592013
2026-03-25T04:30:24Z,12512,,2,08223,31412,42.40376,-8.637198,False,599027
2026-03-25T04:45:17Z,18047,,-2,60400,18000,39.685383,-3.398001,False,449003
2026-03-25T04:45:17Z,04154,,0,31412,17000,42.870903,-8.543659,False,106053
2026-03-25T04:45:17Z,04056,,13,11511,17000,43.096024,-2.1207876,False,121017
2026-03-25T04:45:17Z,17707,,0,35200,35002,39.96333,-4.6575274,False,598009
2026-03-25T04:45:17Z,03062,,-1,04307,60000,42.26458,2.9430285,False,103001
2026-03-25T04:45:17Z,14541,,0,61307,61200,37.818768,-0.95074505,False,592013
2026-03-25T04:45:17Z,12411,,0,31412,22308,43.20743,-8.446814,False,599025
2026-03-25T04:45:17Z,15620,,4,78400,78600,41.636017,0.9796193,False,447136
2026-03-25T04:45:17Z,08072,,2,60600,60000,39.27073,-2.0089312,False,104001
2026-03-25T04:45:17Z,12512,,2,08223,31412,42.546406,-8.649577,False,599027
2026-03-25T04:59:33Z,18047,,1,60400,18000,39.820457,-3.6542797,False,449003
2026-03-25T04:59:33Z,15040,,5,78400,71600,41.54383,0.8254549,False,448021
2026-03-25T04:59:33Z,18120,,0,65400,71600,40.753696,0.6141503,False,448007
2026-03-25T04:59:33Z,18066,,0,14100,10000,41.915672,-4.4979744,False,449049
2026-03-25T04:59:33Z,13001,,0,51405,51003,36.521534,-6.163268,False,449013
2026-03-25T04:59:33Z,15772,,0,79309,71801,42.18466,2.9861648,False,"449040,449042"
2026-03-25T04:59:33Z,15000,,-2,71400,79400,41.13019,1.3052434,False,"449022,449033"
2026-03-25T04:59:33Z,04154,,-1,31412,17000,42.756775,-8.304352,False,106053
2026-03-25T04:59:33Z,04056,,15,11511,17000,43.04942,-2.2657278,False,121017
2026-03-25T04:59:33Z,17707,,0,35200,35002,39.965416,-4.410653,False,598009
2026-03-25T04:59:33Z,03062,,1,04307,60000,41.708046,2.5216427,False,103001
2026-03-25T04:59:33Z,05063,,1,60911,17000,38.400116,-0.6374346,True,106011
2026-03-25T04:59:33Z,03052,,0,71801,60000,41.394096,1.7548987,False,103024
2026-03-25T04:59:33Z,12411,,0,31412,22308,43.01591,-8.450346,False,599025
2026-03-25T04:59:33Z,15620,,4,78400,78600,41.649452,1.1361183,False,447136
2026-03-25T04:59:33Z,12689,,2,21010,31412,43.412388,-8.183251,False,594015
2026-03-25T04:59:33Z,18910,,1,30100,10000,40.969257,-5.419295,False,599013
2026-03-25T04:59:33Z,08072,,0,60600,60000,39.744656,-1.9415255,False,104001
2026-03-25T04:59:33Z,12512,,3,08223,31412,42.647976,-8.741783,False,599027
